number,question,a,b,c,d,e
"1","Проводите ли регулярные опросы сотрудников о желаемых навыках?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
"2","Связываете ли обучение с карьерными целями сотрудников?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
"3","Анализируете ли пробелы в навыках после оценки KPI?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
"4","Учитываете ли запросы руководителей на развитие команд?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
"5","Собираете ли данные о трендах на рынке труда?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
"6","Используете ли результаты аттестаций для планов развития?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
"7","Проводите ли аудит навыков перед запуском новых проектов?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
"8","Сопоставляете ли текущие компетенции с будущими задачами компании?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
"9","Тестируете ли сотрудников перед назначением на новые роли?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
"10","Обновляете ли базу знаний компании на основе изменений в отрасли?","Не делаем","Делаем редко","Делаем иногда","Делаем часто","Полный анализ"
