number,question,a,b,c,d,e
"1","Есть ли у вас утвержденный план адаптации для новых сотрудников?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
"2","Проводится ли вводный инструктаж в первый рабочий день?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
"3","Назначается ли новичку наставник или ментор?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
"4","Используете ли вы чек-листы для контроля адаптации?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
"5","Проводятся ли регулярные встречи с HR в течение испытательного срока?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
"6","Даете ли вы новичку доступ к корпоративным ресурсам (базы знаний, LMS)?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
"7","Включаете ли вы сотрудника в рабочие чаты/почту с первого дня?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
"8","Проводите ли вы экскурсию по офису и знакомство с командой?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
"9","Обучаете ли вы нормам корпоративной культуры (ценности, традиции)?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
"10","Собираете ли вы обратную связь после испытательного срока?","Совсем не применяется","Применяются редко","Применяются иногда","Применяются часто","Полностью внедрено"
